policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,acc@1,acc@5,acc@10m,acc@20,mrr,seed,avg_users_upd
static,0.3161,0.0058,0.3579,0,0.0,0.0,0.1484,0.2717,0.3161,0.3575,0.2064,0,
always+replay,0.4191,0.225,0.4453,450,0.2235,0.7407,0.1923,0.3599,0.4191,0.471,0.2702,0,
periodic-4,0.3518,0.1197,0.3831,120,0.2195,0.1691,0.1642,0.3009,0.3518,0.4001,0.2291,0,
selective-gated,0.3442,0.0909,0.3784,380,0.009,0.0802,0.1602,0.2943,0.3442,0.3915,0.2239,0,235.4
GIRAM,0.5752,0.4901,0.5867,0,-0.0025,0.1442,0.2069,0.4671,0.5752,0.6546,0.3235,0,-
GIRAM-VAE,0.5568,0.4638,0.5693,0,-0.02,0.1258,0.1953,0.4459,0.5568,0.6407,0.3092,0,-
EWC,0.422,0.1828,0.4542,450,0.1205,0.7317,0.1957,0.3642,0.422,0.4743,0.2737,0,-
ADER,0.4406,0.2204,0.4703,450,0.1755,0.5864,0.2064,0.3817,0.4406,0.49,0.2868,0,-
static,0.3167,0.0059,0.3586,0,0.0,0.0,0.1484,0.2711,0.3167,0.3569,0.2061,1,
always+replay,0.4181,0.2335,0.443,450,0.2375,0.7477,0.1937,0.3579,0.4181,0.4694,0.2702,1,
periodic-4,0.3493,0.1159,0.3808,120,0.2195,0.1702,0.1633,0.2981,0.3493,0.3948,0.2273,1,
selective-gated,0.3447,0.1019,0.3774,380,0.009,0.0876,0.1595,0.2938,0.3447,0.3888,0.2228,1,237.1
GIRAM,0.5742,0.4903,0.5855,0,-0.012,0.1473,0.2064,0.4643,0.5742,0.6524,0.3227,1,-
GIRAM-VAE,0.555,0.4638,0.5673,0,-0.0215,0.1296,0.1937,0.4443,0.555,0.6382,0.3076,1,-
EWC,0.4227,0.187,0.4545,450,0.1295,0.7322,0.1941,0.3651,0.4227,0.4712,0.2731,1,-
ADER,0.4407,0.2275,0.4694,450,0.1845,0.5857,0.2065,0.3804,0.4407,0.4903,0.2868,1,-
static,0.3143,0.0069,0.3557,0,0.0,0.0,0.1464,0.2686,0.3143,0.3532,0.2042,2,
always+replay,0.4176,0.2394,0.4416,450,0.23,0.7369,0.1898,0.3581,0.4176,0.47,0.2679,2,
periodic-4,0.3504,0.1251,0.3808,120,0.2155,0.1672,0.1631,0.2996,0.3504,0.3975,0.2277,2,
selective-gated,0.3447,0.0919,0.3787,380,0.0105,0.0678,0.157,0.2927,0.3447,0.3887,0.2213,2,235.7
GIRAM,0.575,0.4909,0.5863,0,-0.0105,0.1413,0.2033,0.4655,0.575,0.6529,0.321,2,-
GIRAM-VAE,0.5556,0.4683,0.5674,0,-0.0175,0.1246,0.1923,0.445,0.5556,0.6405,0.3071,2,-
EWC,0.4214,0.1913,0.4524,450,0.125,0.7217,0.1943,0.3595,0.4214,0.4716,0.2712,2,-
ADER,0.4376,0.2298,0.4656,450,0.1795,0.5783,0.2037,0.3792,0.4376,0.4894,0.2846,2,-
static,0.3187,0.0052,0.3609,0,0.0,0.0,0.1482,0.272,0.3187,0.3591,0.2069,3,
always+replay,0.4163,0.2371,0.4405,450,0.2025,0.7519,0.192,0.357,0.4163,0.4688,0.2691,3,
periodic-4,0.3471,0.1224,0.3773,120,0.1965,0.1698,0.1613,0.2961,0.3471,0.3954,0.2256,3,
selective-gated,0.3467,0.0831,0.3823,380,0.0175,0.0893,0.1602,0.2954,0.3467,0.392,0.2241,3,237.4
GIRAM,0.5747,0.4899,0.5861,0,-0.0205,0.1412,0.2061,0.4649,0.5747,0.6534,0.3229,3,-
GIRAM-VAE,0.5572,0.4633,0.5699,0,-0.025,0.1294,0.1949,0.4449,0.5572,0.6401,0.3088,3,-
EWC,0.4225,0.1878,0.4541,450,0.1015,0.735,0.1936,0.3621,0.4225,0.4738,0.2723,3,-
ADER,0.4393,0.2354,0.4668,450,0.1675,0.5893,0.2055,0.3803,0.4393,0.4887,0.2862,3,-
static,0.3152,0.005,0.357,0,0.0,0.0,0.1434,0.2687,0.3152,0.3568,0.2019,4,
always+replay,0.42,0.2365,0.4448,450,0.258,0.7414,0.193,0.3607,0.42,0.4708,0.2711,4,
periodic-4,0.3533,0.1189,0.3849,120,0.236,0.168,0.1612,0.2989,0.3533,0.4009,0.2265,4,
selective-gated,0.3418,0.0865,0.3762,370,0.019,0.088,0.1545,0.2896,0.3418,0.3883,0.218,4,234.3
GIRAM,0.5744,0.4922,0.5855,0,-0.012,0.1521,0.2024,0.4645,0.5744,0.6547,0.3202,4,-
GIRAM-VAE,0.5549,0.466,0.5669,0,-0.0195,0.1342,0.1902,0.4445,0.5549,0.6413,0.3061,4,-
EWC,0.4208,0.1817,0.453,450,0.1285,0.7308,0.1939,0.3626,0.4208,0.4715,0.2719,4,-
ADER,0.4392,0.2256,0.468,450,0.2,0.5902,0.2067,0.3819,0.4392,0.4895,0.2871,4,-
