policy,acc@10,acc_cold,acc_warm,update_steps,forget_drop,churn,sec,avg_users_upd
static,0.3507,0.0828,0.3892,0,0.0,0.0,0.4,
always,0.2718,0.0825,0.299,450,0.177,0.6905,2.2,
periodic-2,0.2869,0.0791,0.3168,240,0.1585,0.3431,1.7,
periodic-4,0.2957,0.0795,0.3267,120,0.1265,0.1468,1.2,
gated-0.02,0.2961,0.0775,0.3275,180,0.164,0.2935,1.5,
gated-0.05,0.3079,0.0774,0.341,60,0.1085,0.097,0.8,
selective-all,0.3509,0.0829,0.3894,450,-0.0105,0.0176,3.0,147.7
selective-gated,0.3508,0.0829,0.3893,450,-0.003,0.0077,3.1,68.6
GIRAM-a0.3,0.3518,0.0833,0.3903,0,-0.007,0.0506,0.9,-
GIRAM-a0.5,0.3517,0.0832,0.3903,0,-0.025,0.0446,0.8,-
GIRAM-a0.7,0.3516,0.0832,0.3901,0,-0.0275,0.035,1.1,-
