round,policy,acc
0,static,0.1087
1,static,0.1161
2,static,0.0627
3,static,0.078
4,static,0.0706
5,static,0.0558
6,static,0.0828
7,static,0.1091
8,static,0.1001
9,static,0.0735
10,static,0.129
11,static,0.113
12,static,0.0922
13,static,0.0664
14,static,0.0664
0,always+replay,0.1087
1,always+replay,0.1
2,always+replay,0.0433
3,always+replay,0.0632
4,always+replay,0.0659
5,always+replay,0.0414
6,always+replay,0.065
7,always+replay,0.0906
8,always+replay,0.0915
9,always+replay,0.0624
10,always+replay,0.0997
11,always+replay,0.0781
12,always+replay,0.0675
13,always+replay,0.0553
14,always+replay,0.0547
0,periodic-4,0.1087
1,periodic-4,0.1023
2,periodic-4,0.0455
3,periodic-4,0.0659
4,periodic-4,0.0572
5,periodic-4,0.0428
6,periodic-4,0.068
7,periodic-4,0.0887
8,periodic-4,0.0821
9,periodic-4,0.0521
10,periodic-4,0.0875
11,periodic-4,0.0769
12,periodic-4,0.0599
13,periodic-4,0.0527
14,periodic-4,0.0473
0,selective-gated,0.1087
1,selective-gated,0.1161
2,selective-gated,0.0627
3,selective-gated,0.078
4,selective-gated,0.0706
5,selective-gated,0.0558
6,selective-gated,0.0828
7,selective-gated,0.1091
8,selective-gated,0.1001
9,selective-gated,0.0735
10,selective-gated,0.1291
11,selective-gated,0.113
12,selective-gated,0.0922
13,selective-gated,0.0664
14,selective-gated,0.0664
0,GIRAM,0.1087
1,GIRAM,0.1282
2,GIRAM,0.0643
3,GIRAM,0.078
4,GIRAM,0.0706
5,GIRAM,0.0625
6,GIRAM,0.0836
7,GIRAM,0.1122
8,GIRAM,0.1002
9,GIRAM,0.0754
10,GIRAM,0.1291
11,GIRAM,0.1131
12,GIRAM,0.0922
13,GIRAM,0.0664
14,GIRAM,0.0674
0,GIRAM+,0.1087
1,GIRAM+,0.1161
2,GIRAM+,0.0627
3,GIRAM+,0.078
4,GIRAM+,0.0706
5,GIRAM+,0.0558
6,GIRAM+,0.0828
7,GIRAM+,0.1116
8,GIRAM+,0.1001
9,GIRAM+,0.0754
10,GIRAM+,0.129
11,GIRAM+,0.113
12,GIRAM+,0.0922
13,GIRAM+,0.0664
14,GIRAM+,0.0664
0,GIRAM-VAE,0.1134
1,GIRAM-VAE,0.129
2,GIRAM-VAE,0.0646
3,GIRAM-VAE,0.0788
4,GIRAM-VAE,0.0707
5,GIRAM-VAE,0.0626
6,GIRAM-VAE,0.0854
7,GIRAM-VAE,0.1123
8,GIRAM-VAE,0.1009
9,GIRAM-VAE,0.0752
10,GIRAM-VAE,0.1319
11,GIRAM-VAE,0.1131
12,GIRAM-VAE,0.0924
13,GIRAM-VAE,0.0668
14,GIRAM-VAE,0.068
0,EWC,0.1087
1,EWC,0.1116
2,EWC,0.0542
3,EWC,0.0745
4,EWC,0.0787
5,EWC,0.0554
6,EWC,0.0802
7,EWC,0.112
8,EWC,0.114
9,EWC,0.0779
10,EWC,0.1236
11,EWC,0.1052
12,EWC,0.0981
13,EWC,0.0763
14,EWC,0.0683
0,ADER,0.1087
1,ADER,0.1144
2,ADER,0.0556
3,ADER,0.0738
4,ADER,0.0721
5,ADER,0.0502
6,ADER,0.0769
7,ADER,0.1017
8,ADER,0.1035
9,ADER,0.0693
10,ADER,0.1165
11,ADER,0.0905
12,ADER,0.0725
13,ADER,0.0642
14,ADER,0.065
